cluster,trial,valid_mape,n_valid,error,n_estimators,learning_rate,num_leaves,min_child_samples,subsample,colsample_bytree,reg_alpha,reg_lambda
0,8,123.86072237537813,336,,800,0.025,79,45,0.9,0.85,0.05,0.2
0,1,128.06523955747576,336,,500,0.03,31,40,0.9,0.9,0.0,0.0
0,7,131.3309923932943,336,,1200,0.015,63,60,0.8,0.8,0.2,0.5
0,3,131.77218266630487,336,,900,0.02,63,50,0.9,0.9,0.1,0.2
0,2,133.1499975910432,336,,700,0.03,63,40,0.9,0.9,0.0,0.0
0,6,134.6050069848656,336,,900,0.03,47,50,0.85,0.85,0.1,0.3
0,4,139.40036914124207,336,,1100,0.02,95,60,0.85,0.85,0.2,0.4
0,5,142.90774253356588,336,,700,0.05,31,30,0.9,0.9,0.0,0.0
1,1,82.254069478663,777,,500,0.03,31,40,0.9,0.9,0.0,0.0
1,4,82.80322553693328,777,,1100,0.02,95,60,0.85,0.85,0.2,0.4
1,2,83.31931846824777,777,,700,0.03,63,40,0.9,0.9,0.0,0.0
1,3,83.77741318323348,777,,900,0.02,63,50,0.9,0.9,0.1,0.2
1,6,83.97154393524563,777,,900,0.03,47,50,0.85,0.85,0.1,0.3
1,8,84.13480166120881,777,,800,0.025,79,45,0.9,0.85,0.05,0.2
1,7,84.21580606594061,777,,1200,0.015,63,60,0.8,0.8,0.2,0.5
1,5,87.3215818046151,777,,700,0.05,31,30,0.9,0.9,0.0,0.0
2,5,86.53358239836834,5202,,700,0.05,31,30,0.9,0.9,0.0,0.0
2,6,87.79248594052356,5202,,900,0.03,47,50,0.85,0.85,0.1,0.3
2,7,88.64555636750137,5202,,1200,0.015,63,60,0.8,0.8,0.2,0.5
2,1,88.90225704597549,5202,,500,0.03,31,40,0.9,0.9,0.0,0.0
2,2,88.90225704597549,5202,,700,0.03,63,40,0.9,0.9,0.0,0.0
2,3,89.05264133472426,5202,,900,0.02,63,50,0.9,0.9,0.1,0.2
2,8,89.07447961360947,5202,,800,0.025,79,45,0.9,0.85,0.05,0.2
2,4,90.24942833430003,5202,,1100,0.02,95,60,0.85,0.85,0.2,0.4
